-- Insert statements for 50 customers
INSERT INTO customer (customer_id, name, email, hashed_password, phone_number, address, created_at, updated_at, last_login_at, role, is_verified) VALUES 
(51, 'John Smith', 'john.smith@email.com', '$2b$10$aB3cD4eF5gH6iJ7kL8mN9oP0qR1sT2uV3wX4yZ5', '+1234567890', '123 Main St, New York, NY 10001', NOW(), NOW(), NULL, 'customer', 't'),
(62, 'Nicole Wilson', 'nicole.wilson@email.com', '$2b$10$lM4nO5pQ6rS7tU8vW9xY0zA1bC2dE3fG4hI5jK6', '+1234567801', '963 Poplar Ave, Indianapolis, IN 46201', NOW(), NOW(), NULL, 'customer', 't'),
(63, 'Daniel Anderson', 'daniel.anderson@email.com', '$2b$10$mN5oP6qR7sT8uV9wX0yZ1aB2cD3eF4gH5iJ6kL7', '+1234567802', '159 Walnut St, Jacksonville, FL 32201', NOW(), NOW(), NULL, 'customer', 't'),
(64, 'Stephanie Thomas', 'stephanie.thomas@email.com', '$2b$10$nO6pQ7rS8tU9vW0xY1zA2bC3dE4fG5hI6jK7lM8', '+1234567803', '357 Hickory Rd, San Francisco, CA 94101', NOW(), NOW(), NULL, 'customer', 't'),
(65, 'Ryan Jackson', 'ryan.jackson@email.com', '$2b$10$oP7qR8sT9uV0wX1yZ2aB3cD4eF5gH6iJ7kL8mN9', '+1234567804', '468 Dogwood Dr, Columbus, OH 43201', NOW(), NOW(), NULL, 'customer', 't'),
(66, 'Michelle White', 'michelle.white@email.com', '$2b$10$pQ8rS9tU0vW1xY2zA3bC4dE5fG6hI7jK8lM9nO0', '+1234567805', '579 Magnolia Ln, Fort Worth, TX 76101', NOW(), NOW(), NULL, 'customer', 't'),
(67, 'Kevin Harris', 'kevin.harris@email.com', '$2b$10$qR9sT0uV1wX2yZ3aB4cD5eF6gH7iJ8kL9mN0oP1', '+1234567806', '680 Sycamore Ave, Charlotte, NC 28201', NOW(), NOW(), NULL, 'customer', 't'),
(68, 'Lisa Martin', 'lisa.martin@email.com', '$2b$10$rS0tU1vW2xY3zA4bC5dE6fG7hI8jK9lM0nO1pQ2', '+1234567807', '791 Redwood St, Detroit, MI 48201', NOW(), NOW(), NULL, 'customer', 't'),
(69, 'Jason Thompson', 'jason.thompson@email.com', '$2b$10$sT1uV2wX3yZ4aB5cD6eF7gH8iJ9kL0mN1oP2qR3', '+1234567808', '802 Sequoia Rd, El Paso, TX 79901', NOW(), NOW(), NULL, 'customer', 't'),
(70, 'Laura Garcia', 'laura.garcia@email.com', '$2b$10$tU2vW3xY4zA5bC6dE7fG8hI9jK0lM1nO2pQ3rS4', '+1234567809', '913 Juniper Dr, Memphis, TN 38101', NOW(), NOW(), NULL, 'customer', 't'),
(71, 'Andrew Martinez', 'andrew.martinez@email.com', '$2b$10$uV3wX4yZ5aB6cD7eF8gH9iJ0kL1mN2oP3qR4sT5', '+1234567810', '124 Fir Ln, Denver, CO 80201', NOW(), NOW(), NULL, 'customer', 't'),
(72, 'Crystal Robinson', 'crystal.robinson@email.com', '$2b$10$vW4xY5zA6bC7dE8fG9hI0jK1lM2nO3pQ4rS5tU6', '+1234567811', '235 Cypress Ave, Seattle, WA 98101', NOW(), NOW(), NULL, 'customer', 't'),
(73, 'Brian Clark', 'brian.clark@email.com', '$2b$10$wX5yZ6aB7cD8eF9gH0iJ1kL2mN3oP4qR5sT6uV7', '+1234567812', '346 Palm St, Boston, MA 02101', NOW(), NOW(), NULL, 'customer', 't'),
(74, 'Jennifer Rodriguez', 'jennifer.rodriguez@email.com', '$2b$10$xY6zA7bC8dE9fG0hI1jK2lM3nO4pQ5rS6tU7vW8', '+1234567813', '457 Bamboo Rd, Nashville, TN 37201', NOW(), NOW(), NULL, 'customer', 't'),
(75, 'Tyler Lewis', 'tyler.lewis@email.com', '$2b$10$yZ7aB8cD9eF0gH1iJ2kL3mN4oP5qR6sT7uV8wX9', '+1234567814', '568 Peach Dr, Baltimore, MD 21201', NOW(), NOW(), NULL, 'customer', 't'),
(76, 'Karen Lee', 'karen.lee@email.com', '$2b$10$zA8bC9dE0fG1hI2jK3lM4nO5pQ6rS7tU8vW9xY0', '+1234567815', '679 Orange Ln, Louisville, KY 40201', NOW(), NOW(), NULL, 'customer', 't'),
(77, 'Adam Walker', 'adam.walker@email.com', '$2b$10$aB9cD0eF1gH2iJ3kL4mN5oP6qR7sT8uV9wX0yZ1', '+1234567816', '780 Apple Ave, Portland, OR 97201', NOW(), NOW(), NULL, 'customer', 't'),
(78, 'Maria Hall', 'maria.hall@email.com', '$2b$10$bC0dE1fG2hI3jK4lM5nO6pQ7rS8tU9vW0xY1zA2', '+1234567817', '891 Grape St, Oklahoma City, OK 73101', NOW(), NOW(), NULL, 'customer', 't'),
(79, 'Mark Allen', 'mark.allen@email.com', '$2b$10$cD1eF2gH3iJ4kL5mN6oP7qR8sT9uV0wX1yZ2aB3', '+1234567818', '902 Berry Rd, Milwaukee, WI 53201', NOW(), NOW(), NULL, 'customer', 't'),
(80, 'Janet Young', 'janet.young@email.com', '$2b$10$dE2fG3hI4jK5lM6nO7pQ8rS9tU0vW1xY2zA3bC4', '+1234567819', '113 Lemon Dr, Albuquerque, NM 87101', NOW(), NOW(), NULL, 'customer', 't'),
(81, 'Scott King', 'scott.king@email.com', '$2b$10$eF3gH4iJ5kL6mN7oP8qR9sT0uV1wX2yZ3aB4cD5', '+1234567820', '224 Lime Ln, Tucson, AZ 85701', NOW(), NOW(), NULL, 'customer', 't'),
(82, 'Donna Wright', 'donna.wright@email.com', '$2b$10$fG4hI5jK6lM7nO8pQ9rS0tU1vW2xY3zA4bC5dE6', '+1234567821', '335 Coconut Ave, Fresno, CA 93701', NOW(), NOW(), NULL, 'customer', 't'),
(83, 'Gary Lopez', 'gary.lopez@email.com', '$2b$10$gH5iJ6kL7mN8oP9qR0sT1uV2wX3yZ4aB5cD6eF7', '+1234567822', '446 Pineapple St, Sacramento, CA 95801', NOW(), NOW(), NULL, 'customer', 't'),
(84, 'Carolyn Hill', 'carolyn.hill@email.com', '$2b$10$hI6jK7lM8nO9pQ0rS1tU2vW3xY4zA5bC6dE7fG8', '+1234567823', '557 Mango Rd, Long Beach, CA 90801', NOW(), NOW(), NULL, 'customer', 't'),
(85, 'Timothy Green', 'timothy.green@email.com', '$2b$10$iJ7kL8mN9oP0qR1sT2uV3wX4yZ5aB6cD7eF8gH9', '+1234567824', '668 Papaya Dr, Kansas City, MO 64101', NOW(), NOW(), NULL, 'customer', 't'),
(86, 'Sharon Adams', 'sharon.adams@email.com', '$2b$10$jK8lM9nO0pQ1rS2tU3vW4xY5zA6bC7dE8fG9hI0', '+1234567825', '779 Kiwi Ln, Mesa, AZ 85201', NOW(), NOW(), NULL, 'customer', 't'),
(87, 'Steven Baker', 'steven.baker@email.com', '$2b$10$kL9mN0oP1qR2sT3uV4wX5yZ6aB7cD8eF9gH0iJ1', '+1234567826', '880 Strawberry Ave, Virginia Beach, VA 23401', NOW(), NOW(), NULL, 'customer', 't'),
(88, 'Kimberly Gonzalez', 'kimberly.gonzalez@email.com', '$2b$10$lM0nO1pQ2rS3tU4vW5xY6zA7bC8dE9fG0hI1jK2', '+1234567827', '991 Blueberry St, Atlanta, GA 30301', NOW(), NOW(), NULL, 'customer', 't'),
(89, 'Anthony Nelson', 'anthony.nelson@email.com', '$2b$10$mN1oP2qR3sT4uV5wX6yZ7aB8cD9eF0gH1iJ2kL3', '+1234567828', '102 Raspberry Rd, Colorado Springs, CO 80901', NOW(), NOW(), NULL, 'customer', 't'),
(90, 'Lisa Carter', 'lisa.carter@email.com', '$2b$10$nO2pQ3rS4tU5vW6xY7zA8bC9dE0fG1hI2jK3lM4', '+1234567829', '213 Blackberry Dr, Raleigh, NC 27601', NOW(), NOW(), NULL, 'customer', 't'),
(91, 'Paul Mitchell', 'paul.mitchell@email.com', '$2b$10$oP3qR4sT5uV6wX7yZ8aB9cD0eF1gH2iJ3kL4mN5', '+1234567830', '324 Cranberry Ln, Omaha, NE 68101', NOW(), NOW(), NULL, 'customer', 't'),
(92, 'Helen Perez', 'helen.perez@email.com', '$2b$10$pQ4rS5tU6vW7xY8zA9bC0dE1fG2hI3jK4lM5nO6', '+1234567831', '435 Gooseberry Ave, Miami, FL 33101', NOW(), NOW(), NULL, 'customer', 't'),
(93, 'Kenneth Roberts', 'kenneth.roberts@email.com', '$2b$10$qR5sT6uV7wX8yZ9aB0cD1eF2gH3iJ4kL5mN6oP7', '+1234567832', '546 Elderberry St, Oakland, CA 94601', NOW(), NOW(), NULL, 'customer', 't'),
(94, 'Dorothy Turner', 'dorothy.turner@email.com', '$2b$10$rS6tU7vW8xY9zA0bC1dE2fG3hI4jK5lM6nO7pQ8', '+1234567833', '657 Mulberry Rd, Minneapolis, MN 55401', NOW(), NOW(), NULL, 'customer', 't'),
(95, 'Edward Phillips', 'edward.phillips@email.com', '$2b$10$sT7uV8wX9yZ0aB1cD2eF3gH4iJ5kL6mN7oP8qR9', '+1234567834', '768 Huckleberry Dr, Tulsa, OK 74101', NOW(), NOW(), NULL, 'customer', 't'),
(96, 'Betty Campbell', 'betty.campbell@email.com', '$2b$10$tU8vW9xY0zA1bC2dE3fG4hI5jK6lM7nO8pQ9rS0', '+1234567835', '879 Boysenberry Ln, Cleveland, OH 44101', NOW(), NOW(), NULL, 'customer', 't'),
(97, 'Ronald Parker', 'ronald.parker@email.com', '$2b$10$uV9wX0yZ1aB2cD3eF4gH5iJ6kL7mN8oP9qR0sT1', '+1234567836', '980 Loganberry Ave, Wichita, KS 67201', NOW(), NOW(), NULL, 'customer', 't'),
(98, 'Sandra Evans', 'sandra.evans@email.com', '$2b$10$vW0xY1zA2bC3dE4fG5hI6jK7lM8nO9pQ0rS1tU2', '+1234567837', '191 Dewberry St, Arlington, TX 76001', NOW(), NOW(), NULL, 'customer', 't'),
(99, 'Jerry Edwards', 'jerry.edwards@email.com', '$2b$10$wX1yZ2aB3cD4eF5gH6iJ7kL8mN9oP0qR1sT2uV3', '+1234567838', '292 Serviceberry Rd, New Orleans, LA 70112', NOW(), NOW(), NULL, 'customer', 't'),
(100, 'Nancy Collins', 'nancy.collins@email.com', '$2b$10$xY2zA3bC4dE5fG6hI7jK8lM9nO0pQ1rS2tU3vW4', '+1234567839', '393 Cloudberry Dr, Tampa, FL 33601', NOW(), NOW(), NULL, 'customer', 't');
